"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 10:33:38 GMT 2022","Thu Aug 11 10:33:40 GMT 2022","2040","","example2.spec.js","","","","@Smoke",""
"passed","Thu Aug 11 10:33:34 GMT 2022","Thu Aug 11 10:33:38 GMT 2022","3655","","example1.spec.js","","","","@Smoke",""
